name,latitude,longitude
Taqiabad,35.48333,51.1
Kabud Cheshmeh,35.8079,51.1314
Tanbalabad,35.4,51.2
Tajarak-e Bala,35.76667,51.93333
Tajarak,35.86591,52.40766
Tirak,35.78358,51.93529
Taherabad,35.2447,51.7538
Sushabad,35.365,51.73528
Sowdaghlian,35.18046,52.47936
Soltan Darreh-ye Bala,35.65,52.05
Shamsabad,35.91728,52.2873
Shamsabad,35.28384,51.58151
Shalambeh,35.68578,52.05303
Shahrak-e Qods,35.75936,51.37601
Shahzadeh Hoseyn,35.28333,52.41667
Serin Turo,35.95,51.36667
Sefid Kamar,35.59933,52.05461
Sarluman,35.60159,52.18373
Mazra`eh-ye Sarhaddan-e Pa'in,35.56124,52.32101
Sar Gol,35.38,51.668
Sanrad,35.31667,52.35
Senardak,35.2959,51.7265
Siah Kolahan,35.8882,51.0057
Siah Band,35.629,51.96567
Raziabad,35.3822,51.5298
Rahmatabad-e Kavir,35.42417,51.53639
Rahimabad,35.2785,51.4723
Quheh,35.47667,51.66222
Qeshlaq-e Afarin,35.40722,51.81694
Qeshlaq-e `Ali Bak,35.3591,51.0835
Qavinak,35.33333,51.8
Qara'i,35.67459,52.04456
Qal`eh-ye Salariyeh,35.11667,51.58333
Qal`eh-ye Sadat,35.4098,51.7819
Qal`eh-ye Saleh Khan,35.40222,51.79861
Qal`eh Aqabash,35.61889,52.15693
Qal`eh-ye `Aref,35.40833,51.76278
Qasemabad,35.3528,51.6184
Qasemabad,35.45,51.4
Qasemabad,35.48333,51.33333
Qasemabad,35.2545,51.5552
Pangah,35.83333,51.36667
Palang Var-e Pa'in,35.6186,51.823
Pachenar,35.2988,51.7354
Nadarab,35.61667,52.45
Musaabad,35.36968,51.61251
Mehdiabad,35.35694,51.54194
Mehdiabad,35.7,51.96667
Mahmudabad Khalaj,35.56405,51.10257
Mahmudiyeh,35.1455,51.786
Lavasan,35.82159,51.64444
Khalij-e Fars Shomali,35.67249,51.26834
Khorram,35.99254,52.49728
Mazra`eh Kolangi,35.49306,51.6725
Khunik,35.6,52.11667
Khazakdar,35.55604,52.05752
Khalifabad,35.3589,51.8346
Khatun Bargah,35.98333,51.68333
Karimabad,35.2878,51.5639
Shahrak-e Kolmeh,35.5387,51.1822
Mahalleh-ye Kalak-e Pa'in,35.78562,51.02061
Kalin-e Pa'in,35.3948,51.7824
Kabirabad,35.55,52.36667
Kafarumand,35.51667,51.8
Qeshlaq-e Kab Jaliz,35.59,51.9351
Jurd,35.8,51.86667
Jowzak,35.7636,51.7981
Jannatabad,35.74587,51.30588
Hun,35.9,52.18333
Hamand,35.65247,52.17868
Hemmatabad,35.35,51.33333
Gardaneh-ye Hoseynabad,35.46667,51.35
Hoseynabad,35.65,52.01667
Hasanabad-e Bala,35.53333,52.48333
Shahrak-e Karkar,35.4388,51.59651
Gorg Tappeh,35.3748,51.6109
Gol Tangeh,35.6,51.68333
Ghiasabad,35.3423,51.7806
Garmabdar,35.89365,52.21013
Fathabad,35.3203,51.518
Fathabad,35.31056,51.8125
Qarajehabad,35.3112,51.8134
Firuz Kuh,35.6,52.48333
Emamzadeh Shah Hoseyn,35.41667,51.2
Emamzadeh Hasan,35.33333,51.63333
Emamzadeh `Ali,35.3,51.81667
Dozdak,35.85,52.13333
Dovvom,35.86667,51.38333
Do Ab,35.45992,52.17142
Dar-e Bala,35.3047,51.6957
Cheshmehha,35.66768,51.89919
Bu ol Qalam,35.97545,52.30132
Birnehasht,35.56286,52.12296
Bastak,35.96667,51.78333
Baghcheh-ye Haj Esma`il,35.76667,51.08333
Badreh,35.61667,52.41667
Bazarak,35.4659,51.0709
Bi Bi Maryam,35.4961,51.4399
Asta,35.3,52.46667
Aminabad,35.46667,51.25
Akbarabad,35.51667,51.63333
Akbarabad,35.3069,51.8236
Ahmadabad,35.46667,51.4
Shahrak-e Ana,35.7451,51.94263
Ajun,35.4764,52.16265
Ahiyeh,35.35444,51.75444
Abzeh,35.59125,52.0571
`Amrowabad,35.32444,51.64475
`Amuk-e Pa'in,35.3339,51.1577
`Aliabad,35.3592,51.8686
`Aliabad,35.5226,51.2051
`Abbasabad,35.86858,52.13931
Zebiri,34.11667,46.71667
