name,latitude,longitude
‘Aşab Ḩadeh,32.06667,48.25
Zavār Bīd,35.3603,51.7533
Zamānābād,35.5388,51.0821
Zībā Shahr,35.7406,51.2981
Rūstā-ye Faşlī-ye Yūrt Shāh,35.6015,51.7887
Vasīyeh,35.8215,51.0249
Valīrān,35.69793,52.06033
Ūzneh,35.65,52.46667
Towchāl Hotel,35.88763,51.40103
Tarqīyūn-e Pā’īn,35.7052,51.69579
Taqīābād,35.48333,51.1
Kabūd Cheshmeh,35.8079,51.1314
Tanbalābād,35.4,51.2
Tajarak-e Bālā,35.76667,51.93333
Tajarak,35.86591,52.40766
Tīrak,35.78358,51.93529
Ţāherābād,35.2447,51.7538
Sūshābād,35.365,51.73528
Sowdāghlīān,35.18046,52.47936
Soltān Darreh-ye Bālā,35.65,52.05
Shamsābād,35.91728,52.2873
Shamsābād,35.28384,51.58151
Shalambeh,35.68578,52.05303
Shahrak-e Qods,35.75936,51.37601
Shāhzādeh Ḩoseyn,35.28333,52.41667
Serīn Tūro,35.95,51.36667
Sefīd Kamar,35.59933,52.05461
Sarlūmān,35.60159,52.18373
Mazra‘eh-ye Sarḩaddān-e Pa’īn,35.56124,52.32101
Sar Gol,35.38,51.668
Sanrad,35.31667,52.35
Senārdak,35.2959,51.7265
Sīāh Kolāhān,35.8882,51.0057
Sīāh Band,35.629,51.96567
Raẕīābād,35.3822,51.5298
Raḩmatābād-e Kavīr,35.42417,51.53639
Raḩīmābād,35.2785,51.4723
Qūheh,35.47667,51.66222
Qeshlāq-e Āfarīn,35.40722,51.81694
Qeshlāq-e ‘Alī Bak,35.3591,51.0835
Qavīnak,35.33333,51.8
Qarā’ī,35.67459,52.04456
Qal‘eh-ye Sālārīyeh,35.11667,51.58333
Qal‘eh-ye Sādāt,35.4098,51.7819
Qal‘eh-ye Şāleḩ Khān,35.40222,51.79861
Qal‘eh Āqābāsh,35.61889,52.15693
Qal‘eh-ye ‘Āref,35.40833,51.76278
Qāsemābād,35.3528,51.6184
Qāsemābād,35.45,51.4
Qāsemābād,35.48333,51.33333
Qāsemābād,35.2545,51.5552
Pangāh,35.83333,51.36667
Palang Vār-e Pā’īn,35.6186,51.823
Pāchenār,35.2988,51.7354
Nadarāb,35.61667,52.45
Mūsáābād,35.36968,51.61251
Mehdīābād,35.35694,51.54194
Mehdīābād,35.7,51.96667
Maḩmūdābād Khalaj,35.56405,51.10257
Maḩmūdīyeh,35.1455,51.786
Lavāsān,35.82159,51.64444
Khālīj-e Fārs Shomālī,35.67249,51.26834
Khorram,35.99254,52.49728
Mazra‘eh Kolangī,35.49306,51.6725
Khūnīk,35.6,52.11667
Khazakdar,35.55604,52.05752
Khalīfābād,35.3589,51.8346
Khātūn Bārgāh,35.98333,51.68333
Karīmābād,35.2878,51.5639
Shahrak-e Kolmeh,35.5387,51.1822
Maḩalleh-ye Kalāk-e Pā’īn,35.78562,51.02061
Kalīn-e Pā’īn,35.3948,51.7824
Kabīrābād,35.55,52.36667
Kāfarūmand,35.51667,51.8
Qeshlāq-e Kāb Jālīz,35.59,51.9351
Jūrd,35.8,51.86667
Jowzak,35.7636,51.7981
Jannatābād,35.74587,51.30588
Hūn,35.9,52.18333
Hamand,35.65247,52.17868
Hemmatābād,35.35,51.33333
Gardaneh-ye Ḩoseynābād,35.46667,51.35
Ḩoseynābād,35.65,52.01667
Ḩasanābād-e Bālā,35.53333,52.48333
Shahrak-e Kārkar,35.4388,51.59651
Gorg Tappeh,35.3748,51.6109
Gol Tangeh,35.6,51.68333
Ghīās̄ābād,35.3423,51.7806
Garmābdar,35.89365,52.21013
Fatḩābād,35.3203,51.518
Fatḩābād,35.31056,51.8125
Qarajehābād,35.3112,51.8134
Fīrūz Kūh,35.6,52.48333
Emāmzādeh Shāh Ḩoseyn,35.41667,51.2
Emāmzādeh Ḩasan,35.33333,51.63333
Emāmzādeh ‘Alī,35.3,51.81667
Dozdak,35.85,52.13333
Dovvom,35.86667,51.38333
Do Āb,35.45992,52.17142
Dar-e Bālā,35.3047,51.6957
Cheshmehhā,35.66768,51.89919
Bū ol Qalam,35.97545,52.30132
Bīrnehasht,35.56286,52.12296
Bastak,35.96667,51.78333
Baghcheh-ye Ḩāj Esmā‘īl,35.76667,51.08333
Badreh,35.61667,52.41667
Bāzārak,35.4659,51.0709
Bī Bī Maryam,35.4961,51.4399
Astā,35.3,52.46667
Amīnābād,35.46667,51.25
Akbarābād,35.51667,51.63333
Akbarābād,35.3069,51.8236
Aḩmadābād,35.46667,51.4
Shahrak-e Anā,35.7451,51.94263
Ājūn,35.4764,52.16265
Āhīyeh,35.35444,51.75444
Ābzeh,35.59125,52.0571
‘Amrowābād,35.32444,51.64475
‘Amūk-e Pā’īn,35.3339,51.1577
‘Alīābād,35.3592,51.8686
‘Alīābād,35.5226,51.2051
‘Abbāsābād,35.86858,52.13931
Zebīrī,34.11667,46.71667
Zākhān-e Pā’īn,35.0026,47.3694
Yūsofābād,34.95,46.96667
Īlādahreh,34.13333,47.75
Veysābād,34.03333,47.7
Vanū,34.1398,47.6715
Vakīl Āqā,34.31572,47.05186
Tappeh Sorkheh,34.35,47.36667
Somāqestān-e ‘Olyā,34.61667,47.6
Shāh Mey,34.33333,47.78333
Shāh Kūh,34.83333,46.58333
Seyyed ‘Alī,34.0623,47.6768
